Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
776,Zakaria Taifi,us USA,"MF,DF",Orlando City,20-031,2005,0.4,9,13,69.2,211,76,2,3,66.7,2,5,40.0,3,3,100.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
777,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,29-230,1996,34.0,992,1225,81.0,24215,16005,232,234,99.1,510,514,99.2,249,472,52.8,0,0.1,0.0,-0.1,1,17,0,0,1,Matches
778,Strahinja Tanasijević,rs SRB,DF,NYCFC,28-142,1997,6.8,350,399,87.7,5981,2067,148,153,96.7,175,190,92.1,20,39,51.3,0,0.0,0.1,0.0,0,28,1,0,26,Matches
779,Andrew Tarbell,us USA,GK,Houston Dynamo,32-025,1993,3.4,70,97,72.2,1765,1335,18,18,100.0,30,32,93.8,22,47,46.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
780,Iuri Tavares,cv CPV,"MF,FW",Charlotte,24-238,2001,0.3,8,12,66.7,102,12,6,8,75.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,Matches
781,D.J. Taylor,us USA,DF,Minnesota Utd,28-067,1997,2.2,82,103,79.6,1372,510,42,46,91.3,32,42,76.2,5,10,50.0,0,0.0,0.1,0.0,1,4,2,1,8,Matches
782,Robert Taylor,fi FIN,"FW,MF",Austin,31-011,1994,4.6,139,188,73.9,2341,616,76,92,82.6,45,57,78.9,15,27,55.6,0,0.4,0.5,-0.4,6,12,9,3,23,Matches
783,Robert Taylor,fi FIN,"MF,FW",Inter Miami,31-011,1994,2.2,53,66,80.3,699,169,33,38,86.8,13,18,72.2,2,3,66.7,0,0.4,0.7,-0.4,2,1,3,1,7,Matches
784,Carlos Terán,co COL,DF,Chicago Fire,25-038,2000,5.9,289,337,85.8,5338,2259,123,131,93.9,128,144,88.9,32,54,59.3,0,0.0,0.0,0.0,0,12,0,0,14,Matches
785,Cedric Teuchert,de GER,"FW,MF",St. Louis,28-291,1997,13.8,158,239,66.1,2348,750,80,108,74.1,53,72,73.6,10,21,47.6,1,0.8,0.9,+0.2,9,12,18,3,25,Matches
786,Odin Thiago Holm,no NOR,"MF,FW",LAFC,22-287,2003,1.1,21,29,72.4,353,114,11,14,78.6,8,8,100.0,2,4,50.0,0,0.3,0.0,-0.3,2,2,0,0,4,Matches
787,Jamal Thiaré,sn SEN,FW,Atlanta Utd,32-215,1993,11.2,97,146,66.4,1391,205,48,69,69.6,35,56,62.5,5,7,71.4,0,0.3,0.9,-0.3,2,5,2,0,8,Matches
788,Andrew Thomas,ru RUS,GK,Seattle Sounders,27-061,1998,8.0,150,199,75.4,3341,2425,41,41,100.0,82,82,100.0,26,74,35.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
789,Erik Thommy,de GER,"FW,MF",Sporting KC,31-073,1994,14.1,449,555,80.9,6765,1174,253,288,87.8,146,169,86.4,32,48,66.7,4,2.7,2.5,+1.3,14,23,17,2,50,Matches
790,Kosi Thompson,ca CAN,DF,Toronto FC,22-278,2003,23.5,953,1160,82.2,16508,6809,430,473,90.9,430,509,84.5,78,131,59.5,0,1.3,0.4,-1.3,6,93,3,0,82,Matches
791,Timmy Tillman,de GER,MF,LAFC,26-301,1999,26.8,1311,1463,89.6,20594,5538,697,740,94.2,513,545,94.1,71,111,64.0,2,1.6,2.2,+0.4,25,140,26,3,172,Matches
792,Harry Toffolo,eng ENG,DF,Charlotte,30-074,1995,1.3,64,80,80.0,1143,456,30,31,96.8,25,32,78.1,8,12,66.7,1,0.1,0.0,+0.9,1,5,1,1,4,Matches
793,Cayman Togashi,jp JPN,"MF,FW",Atlanta Utd,32-083,1993,1.1,21,26,80.8,306,63,11,13,84.6,10,10,100.0,0,1,0.0,0,0.0,0.1,0.0,0,3,0,0,3,Matches
794,Nouhou Tolo,cm CMR,DF,Seattle Sounders,28-131,1997,24.4,1202,1400,85.9,18808,6017,636,690,92.2,491,543,90.4,50,104,48.1,2,1.9,2.1,+0.1,16,123,13,9,107,Matches
795,Joshua Torquato,us USA,"MF,DF",FC Dallas,18-100,2007,2.5,58,81,71.6,706,298,38,46,82.6,14,19,73.7,2,7,28.6,0,0.1,0.1,-0.1,1,2,0,0,1,Matches
796,Ervin Torres,us USA,MF,Austin,17-352,2007,0.1,5,6,83.3,55,25,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
797,Tomas Totland,no NOR,DF,St. Louis,27-034,1998,11.9,386,493,78.3,5892,2175,193,215,89.8,141,182,77.5,26,53,49.1,1,1.9,1.8,-0.9,21,22,16,9,35,Matches
798,Mason Toye,us USA,"FW,MF",Sporting KC,27-016,1998,5.8,88,128,68.8,1046,173,64,84,76.2,20,30,66.7,0,4,0.0,2,1.1,0.7,+0.9,3,5,2,1,9,Matches
799,Wil Trapp,us USA,MF,Minnesota Utd,32-290,1993,30.2,1035,1239,83.5,17124,6326,492,566,86.9,417,474,88.0,88,128,68.8,2,1.2,2.3,+0.8,14,101,20,4,120,Matches
800,Jackson Travis,us USA,DF,Colorado Rapids,21-251,2004,7.5,258,335,77.0,4130,1222,141,162,87.0,97,125,77.6,18,34,52.9,0,0.1,0.2,-0.1,2,25,1,0,26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
