Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
53,Corey Baird,us USA,FW,San Diego FC,29-275,1996,2.9,4,1.37,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-275,1996,4.7,14,2.99,10,2,0,2,0,0,2,0.43,0,0,0,2,0,0,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-298,2004,1.3,1,0.77,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-215,2005,6.0,12,1.98,11,0,0,0,1,0,1,0.17,1,0,0,0,0,0,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-292,2001,6.7,15,2.25,12,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-049,1993,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-220,1996,27.3,113,4.14,90,2,5,8,7,1,13,0.48,9,0,2,0,1,1,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-210,2006,0.4,3,7.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Jesús Barea,es ESP,FW,Real Salt Lake,23-187,2002,2.9,11,3.76,4,1,0,3,3,0,0,0.00,0,0,0,0,0,0,Matches
62,Tai Baribo,il ISR,FW,Philadelphia Union,27-290,1998,20.7,45,2.17,37,1,1,4,2,0,4,0.19,3,0,0,1,0,0,Matches
63,Tom Barlow,us USA,FW,Chicago Fire,30-116,1995,4.1,6,1.45,4,0,0,1,1,0,1,0.24,1,0,0,0,0,0,Matches
64,Luis Barraza,us USA,GK,D.C. United,28-358,1996,23.2,5,0.22,4,1,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
65,Leonardo Barroso,pt POR,DF,Chicago Fire,20-142,2005,11.6,19,1.64,15,0,1,3,0,0,4,0.34,2,0,0,2,0,0,Matches
66,Jacob Bartlett,us USA,MF,Sporting KC,20-025,2005,21.5,34,1.58,14,18,0,1,0,1,3,0.14,2,1,0,0,0,0,Matches
67,Lucas Bartlett,us USA,DF,D.C. United,28-098,1997,28.9,20,0.69,19,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
68,Ethan Bartlow,us USA,DF,Houston Dynamo,25-272,2000,14.7,17,1.15,14,0,1,1,0,1,2,0.14,2,0,0,0,0,0,Matches
69,Cole Bassett,us USA,"MF,FW",Colorado Rapids,24-096,2001,24.4,79,3.24,65,7,1,3,1,2,10,0.41,8,0,0,1,1,0,Matches
70,Sam Bassett,us USA,"FW,MF",Colorado Rapids,22-202,2003,3.8,7,1.86,5,0,0,1,1,0,1,0.27,1,0,0,0,0,0,Matches
71,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-339,1997,19.4,73,3.76,57,9,0,2,4,1,5,0.26,3,0,0,2,0,0,Matches
72,Zorhan Bassong,ca CAN,"MF,DF",Sporting KC,26-178,1999,18.5,37,2.00,33,2,0,2,0,0,3,0.16,3,0,0,0,0,0,Matches
73,Andy Batioja,co COL,FW,Houston Dynamo,19-274,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Josh Bauer,us USA,DF,Nashville SC,27-102,1998,9.4,19,2.03,17,2,0,0,0,0,3,0.32,2,1,0,0,0,0,Matches
75,Timo Baumgartl,de GER,DF,St. Louis,29-242,1996,19.5,16,0.82,15,0,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Tanner Beason,us USA,DF,NE Revolution,28-223,1997,21.6,13,0.60,10,0,1,1,0,1,3,0.14,2,0,1,0,0,0,Matches
77,Adam Beaudry,us USA,GK,Colorado Rapids,19-197,2006,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Simon Becher,us USA,"FW,MF",St. Louis,26-104,1999,13.9,42,3.02,24,1,4,8,4,1,8,0.58,2,0,2,3,1,0,Matches
79,Alejandro Bedoya,us USA,"MF,DF",Philadelphia Union,38-186,1987,8.3,24,2.88,21,1,0,1,0,1,3,0.36,3,0,0,0,0,0,Matches
80,Jon Bell,jm JAM,DF,Seattle Sounders,28-067,1997,14.7,10,0.68,9,0,0,1,0,0,2,0.14,2,0,0,0,0,0,Matches
81,Ben Bender,us USA,"MF,FW",Philadelphia Union,24-239,2001,3.6,8,2.24,5,1,0,2,0,0,1,0.28,1,0,0,0,0,0,Matches
82,Ramiro Benetti,br BRA,"MF,DF",FC Dallas,32-163,1993,25.6,49,1.92,43,2,0,2,2,0,9,0.35,8,1,0,0,0,0,Matches
83,Christian Benteke,be BEL,FW,D.C. United,34-333,1990,20.9,46,2.21,32,0,2,10,2,0,5,0.24,4,0,0,0,1,0,Matches
84,Gustav Berggren,se SWE,MF,NY Red Bulls,28-055,1997,3.9,9,2.29,8,1,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
85,Sebastian Berhalter,us USA,MF,Vancouver W'caps,24-168,2001,25.5,133,5.22,73,51,1,6,0,2,17,0.67,8,7,0,2,0,0,Matches
86,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-258,1994,14.4,58,4.02,39,5,7,5,2,0,6,0.42,4,1,0,1,0,0,Matches
87,Juan Berrocal,es ESP,DF,Atlanta Utd,26-181,1999,6.4,5,0.78,5,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
88,Miguel Berry,es ESP,FW,LA Galaxy,28-046,1997,7.6,19,2.52,17,0,1,0,1,0,2,0.27,2,0,0,0,0,0,Matches
89,Pep Biel,es ESP,"MF,FW",Charlotte,29-057,1996,22.3,87,3.90,67,14,3,2,0,1,14,0.63,10,3,1,0,0,0,Matches
90,David Bingham,us USA,GK,Charlotte,36-013,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Guilherme Biro,br BRA,DF,Austin,25-184,2000,29.1,44,1.51,38,4,1,0,1,0,3,0.10,3,0,0,0,0,0,Matches
92,Tristan Blackmon,us USA,DF,Vancouver W'caps,29-081,1996,23.0,28,1.22,24,3,0,0,1,0,4,0.17,3,0,0,0,1,0,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,34-345,1990,20.3,4,0.20,2,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
94,Emmanuel Boateng,gh GHA,FW,San Diego FC,31-288,1994,2.7,5,1.86,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Wiktor Bogacz,pl POL,FW,NY Red Bulls,21-110,2004,3.5,11,3.13,8,0,2,1,0,0,1,0.28,1,0,0,0,0,0,Matches
