Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-016,1992,8.3,3,2,0,1,2,2,2,100.0,0,1,1,0,0,3,9,0,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-235,2006,10.0,18,9,6,9,3,8,18,44.4,10,9,2,7,15,33,6,0,Matches
53,Corey Baird,us USA,FW,San Diego FC,29-275,1996,2.9,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,3,0,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-275,1996,4.7,6,5,3,3,0,3,8,37.5,5,2,0,2,1,7,4,0,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-298,2004,1.3,2,2,2,0,0,1,1,100.0,0,2,1,1,1,3,4,0,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-215,2005,6.0,17,7,7,5,5,10,18,55.6,8,13,2,11,8,25,28,0,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-292,2001,6.7,8,5,2,4,2,6,12,50.0,6,4,0,4,4,12,14,0,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-049,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-220,1996,27.3,21,13,13,5,3,14,31,45.2,17,24,1,23,20,41,21,2,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-210,2006,0.4,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,0,0,Matches
61,Jesús Barea,es ESP,FW,Real Salt Lake,23-187,2002,2.9,5,4,1,3,1,1,2,50.0,1,2,1,1,0,5,2,0,Matches
62,Tai Baribo,il ISR,FW,Philadelphia Union,27-290,1998,20.7,15,10,0,12,3,4,16,25.0,12,26,0,26,6,21,7,0,Matches
63,Tom Barlow,us USA,FW,Chicago Fire,30-116,1995,4.1,3,3,0,1,2,0,0,,0,4,1,3,1,4,6,0,Matches
64,Luis Barraza,us USA,GK,D.C. United,28-358,1996,23.2,1,0,1,0,0,1,2,50.0,1,2,0,2,0,1,20,2,Matches
65,Leonardo Barroso,pt POR,DF,Chicago Fire,20-142,2005,11.6,39,33,21,14,4,17,26,65.4,9,9,0,9,6,45,33,2,Matches
66,Jacob Bartlett,us USA,MF,Sporting KC,20-025,2005,21.5,35,21,11,21,3,11,25,44.0,14,26,13,13,30,65,46,1,Matches
67,Lucas Bartlett,us USA,DF,D.C. United,28-098,1997,28.9,37,19,24,11,2,22,30,73.3,8,41,28,13,35,72,197,2,Matches
68,Ethan Bartlow,us USA,DF,Houston Dynamo,25-272,2000,14.7,19,11,13,3,3,13,16,81.3,3,17,9,8,4,23,95,1,Matches
69,Cole Bassett,us USA,"MF,FW",Colorado Rapids,24-096,2001,24.4,29,17,11,12,6,14,40,35.0,26,27,2,25,4,33,26,0,Matches
70,Sam Bassett,us USA,"FW,MF",Colorado Rapids,22-202,2003,3.8,9,6,2,4,3,6,11,54.5,5,1,0,1,2,11,4,0,Matches
71,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-339,1997,19.4,21,13,7,11,3,8,21,38.1,13,13,0,13,16,37,6,0,Matches
72,Zorhan Bassong,ca CAN,"MF,DF",Sporting KC,26-178,1999,18.5,38,21,18,17,3,13,26,50.0,13,23,10,13,20,58,30,1,Matches
73,Andy Batioja,co COL,FW,Houston Dynamo,19-274,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
74,Josh Bauer,us USA,DF,Nashville SC,27-102,1998,9.4,16,7,11,4,1,7,11,63.6,4,9,4,5,8,24,45,0,Matches
75,Timo Baumgartl,de GER,DF,St. Louis,29-242,1996,19.5,34,19,28,6,0,19,25,76.0,6,36,22,14,16,50,85,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Tanner Beason,us USA,DF,NE Revolution,28-223,1997,21.6,51,32,29,16,6,27,47,57.4,20,36,27,9,21,72,126,1,Matches
77,Adam Beaudry,us USA,GK,Colorado Rapids,19-197,2006,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
